Date,Portfolio_Value,Cash,Position_Value
2024-01-02,100000.0,100000.0,0.0
2024-01-03,100000.0,100000.0,0.0
2024-01-04,100000.0,100000.0,0.0
2024-01-05,100000.0,100000.0,0.0
2024-01-08,100000.0,100000.0,0.0
2024-01-09,100000.0,100000.0,0.0
2024-01-10,100000.0,100000.0,0.0
2024-01-11,100000.0,100000.0,0.0
2024-01-12,100000.0,100000.0,0.0
2024-01-16,100000.0,100000.0,0.0
2024-01-17,100000.0,100000.0,0.0
2024-01-18,100000.0,100000.0,0.0
2024-01-19,100000.0,100000.0,0.0
2024-01-22,100000.0,100000.0,0.0
2024-01-23,100000.0,100000.0,0.0
2024-01-24,100000.0,100000.0,0.0
2024-01-25,100000.0,100000.0,0.0
2024-01-26,100000.0,100000.0,0.0
2024-01-29,100000.0,100000.0,0.0
2024-01-30,100000.0,100000.0,0.0
2024-01-31,100000.0,100000.0,0.0
2024-02-01,100000.0,100000.0,0.0
2024-02-02,100000.0,100000.0,0.0
2024-02-05,100000.0,100000.0,0.0
2024-02-06,100000.0,100000.0,0.0
2024-02-07,100000.0,100000.0,0.0
2024-02-08,100000.0,100000.0,0.0
2024-02-09,100000.0,100000.0,0.0
2024-02-12,100000.0,100000.0,0.0
2024-02-13,100000.0,100000.0,0.0
2024-02-14,100000.0,100000.0,0.0
2024-02-15,100000.0,100000.0,0.0
2024-02-16,100000.0,100000.0,0.0
2024-02-20,100000.0,100000.0,0.0
2024-02-21,99996.002997003,96999.0,2997.0029970029973
2024-02-22,100487.5381681459,96999.0,3488.538168145891
2024-02-23,100499.93066302956,96999.0,3500.930663029563
2024-02-26,100512.14583165266,96999.0,3513.145831652657
2024-02-27,100494.7776907384,96999.0,3495.777690738399
2024-02-28,100448.67150676408,96999.0,3449.671506764082
2024-02-29,100513.03415823528,96999.0,3514.0341582352894
2024-03-01,100653.70745371412,96999.0,3654.7074537141125
2024-03-04,100785.09671923658,96999.0,3786.0967192365824
2024-03-05,100817.56844639128,96999.0,3818.56844639128
2024-03-06,100939.10305079764,96999.0,3940.1030507976366
2024-03-07,101115.40807486251,96999.0,4116.4080748625065
2024-03-08,100887.04202721616,96999.0,3888.0420272161527
2024-03-11,100809.12832668843,96999.0,3810.1283266884275
2024-03-12,101081.82661759142,96999.0,4082.8266175914137
2024-03-13,101036.29513344822,96999.0,4037.2951334482273
2024-03-14,100905.52091541464,96999.0,3906.5209154146487
2024-03-15,100900.76836819756,96999.0,3901.768368197564
2024-03-18,100928.2196939366,96999.0,3929.2196939365967
2024-03-19,100970.10870003504,96999.0,3971.108700035042
2024-03-20,101013.37427328061,96999.0,4014.3742732806204
2024-03-21,101060.59289981892,96999.0,4061.5928998189142
2024-03-22,101187.36964823064,96999.0,4188.369648230646
2024-03-25,101213.82116214573,101213.82116214573,0.0
2024-03-26,101213.82116214573,101213.82116214573,0.0
2024-03-27,101213.82116214573,101213.82116214573,0.0
2024-03-28,101213.82116214573,101213.82116214573,0.0
2024-04-01,101213.82116214573,101213.82116214573,0.0
2024-04-02,101213.82116214573,101213.82116214573,0.0
2024-04-03,101213.82116214573,101213.82116214573,0.0
2024-04-04,101213.82116214573,101213.82116214573,0.0
2024-04-05,101213.82116214573,101213.82116214573,0.0
2024-04-08,101213.82116214573,101213.82116214573,0.0
2024-04-09,101213.82116214573,101213.82116214573,0.0
2024-04-10,101213.82116214573,101213.82116214573,0.0
2024-04-11,101213.82116214573,101213.82116214573,0.0
2024-04-12,101213.82116214573,101213.82116214573,0.0
2024-04-15,101213.82116214573,101213.82116214573,0.0
2024-04-16,101213.82116214573,101213.82116214573,0.0
2024-04-17,101213.82116214573,101213.82116214573,0.0
2024-04-18,101213.82116214573,101213.82116214573,0.0
2024-04-19,101209.78778089212,98176.40652728136,3033.381253610761
2024-04-22,101341.87081722656,98176.40652728136,3165.4642899451937
2024-04-23,101457.51373935778,98176.40652728136,3281.107212076408
2024-04-24,101348.20062277642,98176.40652728136,3171.7940954950673
2024-04-25,101465.83376314648,98176.40652728136,3289.4272358651288
2024-04-26,101668.97488301048,98176.40652728136,3492.5683557291245
2024-04-29,101669.85057903558,98176.40652728136,3493.4440517542175
2024-04-30,101615.91049931089,98176.40652728136,3439.503972029532
2024-05-01,101482.1146598906,98176.40652728136,3305.70813260924
2024-05-02,101592.62251511548,98176.40652728136,3416.215987834114
2024-05-03,101710.93232968674,98176.40652728136,3534.5258024053837
2024-05-06,101844.32921390893,98176.40652728136,3667.9226866275685
2024-05-07,101781.19371822054,98176.40652728136,3604.7871909391824
2024-05-08,101775.5411945721,98176.40652728136,3599.1346672907425
2024-05-09,101709.26054636612,98176.40652728136,3532.8540190847516
2024-05-10,101754.2832329803,98176.40652728136,3577.8767056989486
2024-05-13,101775.02373783001,98176.40652728136,3598.617210548642
2024-05-14,101813.1201611229,98176.40652728136,3636.713633841537
